year,27511,27513,27518,27529,27539,27601,27603,27604,27605,27606,27607,27608,27610
1987,1129,251,923,1506,28,1632,6446,1117,547,5402,2956,391,1350
2002,3280,749,4460,6510,498,3485,18506,2555,1297,18907,9826,1392,6360
