year,27511,27513,27518,27529,27539,27601,27603,27604,27605,27606,27607,27608,27610
1987,2258,502,1846,3012,56,3264,12892,2234,1094,10804,5912,782,2700
2002,6560,1498,8920,13020,996,6970,37012,5110,2594,37814,19652,2784,12720
