ID,0.3,0.61,0.91,1.22,1.52,1.83,2.13,2.44,2.74,3.05,3.35,3.66,3.96,4.27,4.57,4.88,5.18,5.49,5.79,6.1,6.4,6.71,7.01,7.32,7.62
1,18,22,25,28,30,31,40,43,43,45,46,47,47,49,50,50,50,51,51,52,52,53,53,54,54
