cat,area,perimeter,compact,opt_blue_min,opt_blue_max,opt_blue_range,opt_blue_mean,opt_blue_stddev,opt_blue_sum,opt_blue_median,opt_green_min,opt_green_max,opt_green_range,opt_green_mean,opt_green_stddev,opt_green_sum,opt_green_median,opt_nir_min,opt_nir_max,opt_nir_range,opt_nir_mean,opt_nir_stddev,opt_nir_sum,opt_nir_median,opt_red_min,opt_red_max,opt_red_range,opt_red_mean,opt_red_stddev,opt_red_sum,opt_red_median,NDVI_min,NDVI_max,NDVI_range,NDVI_mean,NDVI_stddev,NDVI_sum,NDVI_median,Brightness_min,Brightness_max,Brightness_range,Brightness_mean,Brightness_stddev,Brightness_sum,Brightness_median,nDSM_min,nDSM_max,nDSM_range,nDSM_mean,nDSM_stddev,nDSM_sum,nDSM_median
16509789.0,1028.99999999,542.0,4.76635808954,208.0,336.0,128.0,253.275024295,17.8902188402,1042480.0,252.0,267.0,474.0,207.0,335.379008746,33.8641054093,1380420.0,335.0,545.0,964.0,419.0,701.700437318,68.3322565736,2888199.0,706.0,232.0,613.0,381.0,358.882653061,56.1354920682,1477161.0,355.0,0.165266111493,0.54458874464,0.379322633147,0.325582189679,0.0493634896163,1340.09629272,0.328213,725.0,1417.0,692.0,947.536686103,105.58672376,3900061.0,944.0,-0.131866455078,2.02752685547,2.15939331055,0.236342842539,0.335335110521,972.787139893,0.0582123
16491503.0,278.500000005,89.0,1.50443169645,353.0,636.0,283.0,540.042190305,47.6810827546,601607.0,560.0,501.0,919.0,418.0,782.867145422,65.3644824297,872114.0,807.0,506.0,1171.0,665.0,859.152603232,61.4543229058,957096.0,853.0,407.0,995.0,588.0,817.179533214,63.3120005965,910338.0,827.5,-0.0289555322379,0.258114367723,0.287069899961,0.0253578098417,0.0308882577792,28.2486001636,0.0139649,1309.0,2539.0,1230.0,2140.08886894,164.939361585,2384059.0,2197.0,-0.135528564453,4.42572021484,4.5612487793,3.1292280543,0.915144765191,3485.96005249,3.36397
16486506.0,3073.24999999,1566.0,7.96870740265,217.0,387.0,170.0,296.89620109,20.9235855708,3649745.0,296.0,275.0,567.0,292.0,428.186854307,39.1812693747,5263701.0,427.0,595.0,1149.0,554.0,843.010575124,81.7650755938,10363129.0,837.0,224.0,668.0,444.0,468.649475311,52.8802242347,5761108.0,466.0,0.163547605276,0.457627117634,0.294079512358,0.285688702694,0.0393313188216,3511.97122222,0.286166,716.0,1606.0,890.0,1193.73253071,110.851374441,14674554.0,1190.0,-0.125823974609,1.4909362793,1.61676025391,0.111159797953,0.155768439922,1366.48739624,0.0663147
16485601.0,7534.0,4065.0,13.2112165099,268.0,514.0,246.0,439.177196708,21.4435425395,13235044.0,441.0,377.0,817.0,440.0,665.895307937,34.2996285316,20067421.0,669.0,699.0,1320.0,621.0,1061.43479559,48.853906057,31987399.0,1062.0,382.0,1093.0,711.0,849.568954075,49.8168582176,25602610.0,853.0,0.051323607564,0.333333343267,0.282009735703,0.111223299255,0.0155153786633,3351.82534634,0.108901,1054.0,2418.0,1364.0,1954.64145872,100.268502844,58905075.0,1963.0,-0.150299072266,1.15759277344,1.3078918457,0.106943211,0.120607670871,3222.84060669,0.0775452
16439195.0,1546.99999999,659.0,4.72645280543,185.0,391.0,206.0,260.940206852,18.2048330515,1614698.0,259.0,234.0,548.0,314.0,367.001939237,32.9463432675,2271008.0,366.0,616.0,1223.0,607.0,942.662249515,79.759338341,5833194.0,950.0,156.0,600.0,444.0,365.273917259,58.1478521262,2260315.0,360.0,0.226581260562,0.667485654354,0.440904393792,0.44282272742,0.0642136269975,2740.18703727,0.442356,581.0,1446.0,865.0,993.216063348,104.881063648,6146021.0,984.0,-0.111724853516,1.28042602539,1.39215087891,0.100483184795,0.169547732388,621.78994751,0.0
16442477.0,1650.25000003,675.0,4.68731316371,265.0,380.0,115.0,313.249356158,13.3082706666,2067759.0,312.0,368.0,593.0,225.0,461.827298894,24.4801398896,3048522.0,460.0,670.0,976.0,306.0,811.994546281,41.115773897,5359976.0,810.0,491.0,865.0,374.0,665.220118164,41.9476650156,4391118.0,662.0,0.0364145673811,0.154177427292,0.117762859911,0.0996865938839,0.0126931064387,658.031206228,0.100182,1124.0,1822.0,698.0,1440.29677322,77.6609964027,9507399.0,1434.0,-0.143798828125,1.09558105469,1.23937988281,0.194554590561,0.208532757953,1284.25485229,0.148621
16433574.0,883.750000007,350.0,3.32122576924,228.0,357.0,129.0,271.231683168,14.4157234946,958804.0,270.0,309.0,520.0,211.0,378.222630835,25.5153934154,1337017.0,376.0,698.0,1102.0,404.0,872.163224894,48.8111414556,3083097.0,868.0,274.0,652.0,378.0,388.951343706,46.2384803686,1374943.0,386.0,0.236980691552,0.51499569416,0.278015002608,0.384542994865,0.0440055972334,1359.35948685,0.380331,821.0,1529.0,708.0,1038.40565771,84.4155483624,3670764.0,1031.0,-0.0672302246094,0.726043701172,0.793273925781,0.0393148419543,0.100557681744,138.977966309,0.0
16446963.0,6350.25,4536.0,16.0573066878,256.0,435.0,179.0,330.774969489,20.5454955197,8402015.0,330.0,364.0,683.0,319.0,488.395378135,36.5152437451,12405731.0,487.0,656.0,1220.0,564.0,909.743947089,64.0226460096,23108406.0,909.0,380.0,826.0,446.0,586.300381875,56.2716203738,14892616.0,586.0,0.113667115569,0.36305731535,0.24939019978,0.216996793743,0.030960276713,5511.93555786,0.215591,1015.0,1887.0,872.0,1405.4707295,110.365514402,35700362.0,1403.0,-0.199584960938,1.20077514648,1.40036010742,0.0622099166095,0.121945141653,1580.1940918,0.0
16417792.0,99.7499999972,51.0,1.44048517132,306.0,353.0,47.0,341.127819549,6.06408573877,136110.0,342.0,517.0,619.0,102.0,595.546365915,17.9138072951,237623.0,601.0,482.0,708.0,226.0,568.436090226,32.6064141906,226806.0,562.0,683.0,890.0,207.0,835.421052632,29.2862145694,333333.0,843.0,-0.286454468966,-0.0282404050231,0.258214063942,-0.190343456539,0.0404923614544,-75.947039159,-0.202255,1513.0,1835.0,322.0,1772.0952381,50.5685564321,707066.0,1784.0,-0.0492248535156,1.04837036133,1.09759521484,0.11040701424,0.257902002826,44.0523986816,0.0
16429611.0,13311.2500001,7326.0,17.9123498228,202.0,315.0,113.0,242.62496009,7.31903129784,12918566.0,242.0,231.0,418.0,187.0,304.898657151,12.5129131565,16234329.0,304.0,436.0,763.0,327.0,563.827288947,29.9958521404,30020984.0,560.0,187.0,498.0,311.0,304.38965161,20.2128540404,16207227.0,304.0,0.166666671634,0.47619047761,0.309523805976,0.298845374177,0.031942242099,15912.021948,0.29638,620.0,1231.0,611.0,851.913268852,38.1158603316,45360122.0,850.0,-0.208618164062,4.07507324219,4.28369140625,0.73383141112,0.765929512918,39072.8534851,0.502075
